"FECHA","PM25","PM10","NO2","NO","NOX","SO2","H2S","CO","O3","O3_8H","CO_8H","HR","PRESION","PRECIPITACION","TEMPERATURA","DIRECCION_VIENTO","VELOCIDAD_VIENTO","RADIACION","ESTACION","LAT","LON","REFERENCIA"
"2024-06-30 21:00",12.2984,38.1155,53.7644817788922,23.442782237156,47.69783,2.4457416275794,10.2733564362242,540.605141180856,2.83287063722186,16.4433839674391,415.588985606311,79.12,500.0595,0,12.62,241,1.326,0,"EMCA - 01",-18.004275,-70.257304,"Prolongación Hipólito Unanue"
"2024-06-30 22:00",22.3808,47.3818,54.8445109416623,39.185492093798,61.10333,2.48766373452145,3.42581294904924,578.615946342626,0.403821632709035,12.7101119870535,452.487676903326,80.277,500.0633,0,12.62,230,0.817,0,"EMCA - 01",-18.004275,-70.257304,"Prolongación Hipólito Unanue"
"2024-06-30 23:00",18.7325,28.6073,49.7667470151262,27.7132537238064,49.05408,1.61484366608051,3.00048425001523,457.306145148288,3.80097706587765,9.60158509676734,472.096679838968,83.19,500.0629,0,11.65,37,0.938,0,"EMCA - 01",-18.004275,-70.257304,"Prolongación Hipólito Unanue"
"2024-07-17 00:00",22.6683,39.9976,30.1416062165348,1.05952479274577,16.8895,4.06690742165383,3.00393409624279,408.409148722667,18.4349032042195,NA,NA,83.215,943.4762,0,10.42,322,0.925,0,"EMCA - 02",-17.99325,-70.243305,"Instituto Vigil"
"2024-07-17 01:00",24.0395,39.7849,19.9324953754829,1.04215794700646,11.4478,4.27565890752944,2.44632135014235,355.203686201531,27.0764909024991,NA,NA,83.856,943.3965,0,10.83,286,0.874,0,"EMCA - 02",-17.99325,-70.243305,"Instituto Vigil"
"2024-07-17 02:00",18.3439,28.4162,9.57356281374096,0.881704975342024,5.80905,3.94909725494337,3.63822232204781,290.782814077019,35.591206819994,NA,NA,85.712,943.3743,0,10.42,241,1.008,0,"EMCA - 02",-17.99325,-70.243305,"Instituto Vigil"
"2024-07-17 03:00",19.7086,29.6086,10.3749717236054,0.856265413718851,6.2144,4.20098451614514,3.57522082896569,296.548429170952,33.4123291408364,NA,NA,85.691,943.2939,0,10.22,254,0.91,0,"EMCA - 02",-17.99325,-70.243305,"Instituto Vigil"
"2024-07-17 04:00",18.8785,29.9314,12.0854012605415,0.822274972943639,7.096159,3.93333318501695,3.38168529158846,309.597842574614,29.6414173335569,NA,NA,85.817,943.2325,0,10.06,282,1.177,0,"EMCA - 02",-17.99325,-70.243305,"Instituto Vigil"
"2024-07-17 05:00",16.1509,22.3197,13.4669320602735,0.924510278684644,7.914058,4.13537466139739,3.39446198379633,322.154859853074,27.3889364792251,28.5908806467218,330.449463433309,85.549,943.3011,0,9.84,106,1.188,0,"EMCA - 02",-17.99325,-70.243305,"Instituto Vigil"
"2024-07-17 06:00",17.8565,23.8096,15.8225598284982,0.967735722918363,9.201865,3.86673594791959,3.51903403616586,329.448277063854,24.8014248029992,28.0495298119043,330.306436809101,84.917,943.586,0,9.7,84,1.2,0,"EMCA - 02",-17.99325,-70.243305,"Instituto Vigil"
