"REFERENCIA","LAT","LON","PM25_mean","PM10_mean","NO2_mean","NO_mean","NOX_mean","SO2_mean","H2S_mean","CO_mean","O3_mean","O3_8H_mean","CO_8H_mean"
"Prolongación Hipólito Unanue",-18.004275,-70.257304,18.8312129004525,39.9827200421941,45.2913836322643,29.2871737844912,47.9560288333333,1.76128340001036,4.08080442403485,390.487841378767,15.3368712191009,15.4425355291513,390.078437548888
"Instituto Vigil",-17.99325,-70.243305,19.3751104635569,39.3243598309859,30.1288408548679,7.87558351724686,22.4396728611111,4.91507152994013,3.23490250600741,567.30011592122,24.863413114134,24.948220150661,565.559203545877
"I.E. Manuel A. Odría",-17.980364,-70.239032,19.7302451550388,43.7612593181818,30.7177109068632,6.56073496626965,21.680746594697,5.09058336428173,3.60842515399531,474.746502299695,22.4629097434786,22.527382106854,474.28346076073
"Escuela de Posgrado UNJBG",-18.00676,-70.23816,15.1152155402844,35.3253037056075,30.8173672843951,9.77809543061104,24.3562755925926,2.74585315587584,2.64795839097201,573.02485672931,26.2540811358734,26.3353248880408,571.575810639739
"I.E. Jorge Chávez",-18.03961,-70.25581,10.4110470833333,25.77341125,16.0020216121077,3.92097719910732,11.7046966378205,1.64578791127316,3.06053000542216,415.548257223773,45.9714558627367,46.0718177576615,414.339180896261
"Universidad Nacional Jorge Basadre Grohmann",-18.02685,-70.2507,13.9753058967972,40.1491656993007,26.9053880947853,15.4286060624894,26.8808279097222,2.70811604135278,3.49829516758229,524.350878293856,31.755474671621,31.8404347730307,524.730843421126
